question_id,db_id,sql,difficulty,runtime_s
1471,debit_card_specializing,SELECT  CAST(SUM(CASE WHEN Currency = 'EUR' THEN 1 ELSE 0 END) AS DOUBLE) / SUM(CASE WHEN Currency = 'CZK' THEN 1 ELSE 0 END) FROM customers,simple,0.012632400001166388
1472,debit_card_specializing,"SELECT
  T1.CustomerID
FROM customers AS T1
INNER JOIN yearmonth AS T2
  ON T1.CustomerID = T2.CustomerID
WHERE
  T1.Segment = 'LAM' AND SUBSTR(T2.Date, 1, 4) = '2012'
GROUP BY
  T1.CustomerID
ORDER BY
  SUM(T2.Consumption) ASC
LIMIT 1",moderate,0.18693160000111675
1473,debit_card_specializing,"SELECT
  AVG(T2.Consumption) / 12
FROM customers AS T1
INNER JOIN yearmonth AS T2
  ON T1.CustomerID = T2.CustomerID
WHERE
  SUBSTR(T2.Date, 1, 4) = '2013' AND T1.Segment = 'SME'",moderate,0.1874309999984689
1476,debit_card_specializing,"SELECT
  SUM(CASE WHEN T1.Currency = 'CZK' THEN T2.Consumption ELSE 0 END) - SUM(CASE WHEN T1.Currency = 'EUR' THEN T2.Consumption ELSE 0 END)
FROM customers AS T1
INNER JOIN yearmonth AS T2
  ON T1.CustomerID = T2.CustomerID
WHERE
  SUBSTR(T2.Date, 1, 4) = '2012'",challenging,0.18888890000380343
1479,debit_card_specializing,"SELECT
  SUBSTR(T2.Date, 1, 4)
FROM customers AS T1
INNER JOIN yearmonth AS T2
  ON T1.CustomerID = T2.CustomerID
WHERE
  T1.Currency = 'CZK'
GROUP BY
  SUBSTR(T2.Date, 1, 4)
ORDER BY
  SUM(T2.Consumption) DESC
LIMIT 1",moderate,0.5518128000039724
1480,debit_card_specializing,"SELECT
  SUBSTR(T2.Date, 5, 2)
FROM customers AS T1
INNER JOIN yearmonth AS T2
  ON T1.CustomerID = T2.CustomerID
WHERE
  SUBSTR(T2.Date, 1, 4) = '2013' AND T1.Segment = 'SME'
GROUP BY
  SUBSTR(T2.Date, 5, 2)
ORDER BY
  SUM(T2.Consumption) DESC
LIMIT 1",moderate,0.37856990000000224
1481,debit_card_specializing,"SELECT
  CAST(SUM(CASE WHEN T1.Segment = 'SME' THEN T2.Consumption ELSE 0 END) AS DOUBLE) / COUNT(T1.CustomerID) - CAST(SUM(CASE WHEN T1.Segment = 'LAM' THEN T2.Consumption ELSE 0 END) AS DOUBLE) / COUNT(T1.CustomerID),
  CAST(SUM(CASE WHEN T1.Segment = 'LAM' THEN T2.Consumption ELSE 0 END) AS DOUBLE) / COUNT(T1.CustomerID) - CAST(SUM(CASE WHEN T1.Segment = 'KAM' THEN T2.Consumption ELSE 0 END) AS DOUBLE) / COUNT(T1.CustomerID),
  CAST(SUM(CASE WHEN T1.Segment = 'KAM' THEN T2.Consumption ELSE 0 END) AS DOUBLE) / COUNT(T1.CustomerID) - CAST(SUM(CASE WHEN T1.Segment = 'SME' THEN T2.Consumption ELSE 0 END) AS DOUBLE) / COUNT(T1.CustomerID)
FROM customers AS T1
INNER JOIN yearmonth AS T2
  ON T1.CustomerID = T2.CustomerID
WHERE
  T1.Currency = 'CZK'
  AND T2.Consumption = (
    SELECT
      MIN(Consumption)
    FROM yearmonth
  )
  AND T2.Date BETWEEN 201301 AND 201312",challenging,0.680462999996962
1482,debit_card_specializing,"SELECT
  CAST((
    SUM(
      CASE
        WHEN T1.Segment = 'SME' AND T2.Date LIKE '2013%'
        THEN T2.Consumption
        ELSE 0
      END
    ) - SUM(
      CASE
        WHEN T1.Segment = 'SME' AND T2.Date LIKE '2012%'
        THEN T2.Consumption
        ELSE 0
      END
    )
  ) AS DOUBLE) * 100 / SUM(
    CASE
      WHEN T1.Segment = 'SME' AND T2.Date LIKE '2012%'
      THEN T2.Consumption
      ELSE 0
    END
  ),
  CAST(SUM(
    CASE
      WHEN T1.Segment = 'LAM' AND T2.Date LIKE '2013%'
      THEN T2.Consumption
      ELSE 0
    END
  ) - SUM(
    CASE
      WHEN T1.Segment = 'LAM' AND T2.Date LIKE '2012%'
      THEN T2.Consumption
      ELSE 0
    END
  ) AS DOUBLE) * 100 / SUM(
    CASE
      WHEN T1.Segment = 'LAM' AND T2.Date LIKE '2012%'
      THEN T2.Consumption
      ELSE 0
    END
  ),
  CAST(SUM(
    CASE
      WHEN T1.Segment = 'KAM' AND T2.Date LIKE '2013%'
      THEN T2.Consumption
      ELSE 0
    END
  ) - SUM(
    CASE
      WHEN T1.Segment = 'KAM' AND T2.Date LIKE '2012%'
      THEN T2.Consumption
      ELSE 0
    END
  ) AS DOUBLE) * 100 / SUM(
    CASE
      WHEN T1.Segment = 'KAM' AND T2.Date LIKE '2012%'
      THEN T2.Consumption
      ELSE 0
    END
  )
FROM customers AS T1
INNER JOIN yearmonth AS T2
  ON T1.CustomerID = T2.CustomerID",challenging,0.43916010000248207
1483,debit_card_specializing,"SELECT
  SUM(Consumption)
FROM yearmonth
WHERE
  CustomerID = 6 AND Date BETWEEN '201308' AND '201311'",simple,0.026941899996018037
1484,debit_card_specializing,"SELECT
  SUM(CASE WHEN Country = 'CZE' THEN 1 ELSE 0 END) - SUM(CASE WHEN Country = 'SVK' THEN 1 ELSE 0 END)
FROM gasstations
WHERE
  Segment = 'Discount'",simple,0.001545099999930244
